id;date;details
1;2020-09-01T20:47:57;../fake-data/blob/hipster.txt
2;2020-09-01T12:58:00;../fake-data/blob/hipster.txt
3;2020-09-01T11:11:22;../fake-data/blob/hipster.txt
4;2020-09-01T13:53:53;../fake-data/blob/hipster.txt
5;2020-08-31T23:03:57;../fake-data/blob/hipster.txt
6;2020-09-01T15:59:14;../fake-data/blob/hipster.txt
7;2020-09-01T20:49:43;../fake-data/blob/hipster.txt
8;2020-09-01T12:37:02;../fake-data/blob/hipster.txt
9;2020-09-01T02:48:01;../fake-data/blob/hipster.txt
10;2020-09-01T11:56:26;../fake-data/blob/hipster.txt
